Id,Label,Wider Location,Encompassing Location,Continent,LocationScore
5114,Sestos,-,Turkey,Eastern Europe/Western Asia,5
5115,Tripoli,-,Libya,Africa,5
5116,Virginia,-,North America,North America,5
5201,Cataracts of the Nile,-,Egypt,Africa,5
5202,Strait of Hormuz,-,Persia,Asia,5
5203,The Hellespont/the Dardanelles strait,i,Turkey,Eastern Europe/Western Asia,5
6001,Cockaigne,-,-,-,6
6002,Elysium,-,-,-,6
6003,England (fic),-,-,Europe,6
6004,Fairyland,-,-,-,6
6005,Heaven,-,-,-,6
6006,Hell,-,-,-,6
6101,Country spaces (fic),-,England,Europe,6
6102,Gomorrah,-,Jordan River valley,Asia,6
6103,London (fic),-,England,Europe,6
6104,Sodom,-,Jordan River valley,Asia,6
6201,Court of Hell,-,-,Hell,6
6202,Eastward Castle,Country spaces,England,Europe,6
6203,Office of Dependency,London,England,Europe,6
6204,Petronel's Land,Country spaces,England,Europe,6
